region_id,name,value
west,Sports Loyalists,38
west,Premium Upgrade,29
west,Family Co-View,20
west,Winback,13
central,Family Co-View,34
central,Sports Loyalists,27
central,Trial Convert,22
central,Winback,17
midwest,Winback,32
midwest,Sports Loyalists,26
midwest,Family Co-View,24
midwest,Premium Upgrade,18
southeast,Sports Loyalists,36
southeast,Family Co-View,31
southeast,Trial Convert,20
southeast,Winback,13
northeast,Premium Upgrade,37
northeast,Sports Loyalists,28
northeast,Winback,21
northeast,Family Co-View,14
